resolved_player_id,player_full_name,loyalty_card_id,casino_player_id,pms_guest_id,tier,tier_credits,dedicated_host_id,is_hosted,gaming_theo_win,gaming_actual_win,hotel_ancillary_rev,comp_dollars_issued,blended_worth,comp_efficiency_ratio,floor_vs_pms_worth_gap,carded_sessions,hotel_stays,days_since_last_play,reactivation_flag,high_worth_unhosted_flag,identity_resolved_from_sources
RP0008,Fatima Singh,7008441200000493,10000196,G8056624,Chairman's Club,470725,H03,Y,214629.43,-10902.56,414716.86,115832.72,252465.62,0.46,-24381.95,15,11,61,N,N,3
RP0011,Kenneth White,7008441200000678,10000258,G3515697,Chairman's Club,406146,H04,Y,189827.56,45824.56,311512.9,83440.99,203943.29,0.41,-525.99,20,11,24,N,N,3
RP0012,Christopher Ramirez,7008441200000766,10000298,G6544237,Chairman's Club,260283,H05,Y,132436.55,-21255.36,315206.73,98064.64,176540.63,0.56,-37474.89,27,17,28,N,N,3
RP0039,Christopher Chen,7008441200002062,10001031,G9158595,Black,231231,H05,Y,140357.05,17875.44,284822.84,59813.82,169866.52,0.35,-20305.03,23,12,77,N,N,3
RP0031,Thomas Thompson,7008441200001770,10000791,G7400682,Chairman's Club,250725,H05,Y,175873.32,89722.54,197594.66,57512.03,157094.79,0.37,34441.43,25,9,6,N,N,3
RP0043,Matthew Patel,7008441200002178,10001144,G9251350,Black,188080,H01,Y,126405.83,49506.98,248785.52,49487.48,150277.85,0.33,-13068.32,27,13,3,N,N,3
RP0007,Joseph Nakamura,7008441200000422,10000168,G2182358,Black,226463,,N,151010.03,-2988.72,132696.3,23829.99,121948.72,0.2,40061.16,25,7,6,N,Y,3
RP0048,Anthony Ramirez,7008441200002510,10001315,G8181157,Black,196021,H03,Y,93739.61,-17233.27,178060.6,33915.38,109191.01,0.31,-11011.38,14,9,22,N,N,3
RP0038,Wei Harris,7008441200001998,10000997,G7745101,Black,136844,H04,Y,77949.04,-1103.31,116333.69,21711.56,79691.31,0.27,1870.91,16,11,13,N,N,3
RP0006,William Allen,7008441200000346,10000159,G2706468,Black,155659,H02,Y,88853.01,32643.75,80087.2,17750.74,72457.02,0.24,23189.88,12,6,0,N,N,3
RP0035,Raj Hill,7008441200001903,10000905,G8732601,Black,143474,H02,Y,77013.3,24947.69,87329.33,15908.42,69071.92,0.23,13002.08,15,10,17,N,N,3
RP0037,Kimberly Anderson,,10000969,G7762169,Black,123354,H03,Y,71572.83,-37076.14,62416.01,12937.65,57632.02,0.22,15930.3,10,6,56,N,N,2
RP0029,Omar King,7008441200001722,10000737,G7408891,Black,165546,H04,Y,86220.8,46505.22,29819.79,7349.53,53547.33,0.14,39144.06,8,2,55,N,N,3
RP0046,Matthew Johnson,7008441200002397,10001253,G6272599,Black,98402,H02,Y,64003.74,11037.21,52354.71,12728.27,50326.02,0.25,17983.24,8,4,126,Y,N,3
RP0019,Richard Lee,7008441200001102,10000469,G4129286,Black,137577,H02,Y,72796.17,-24883.08,32954.47,4908.89,47932.15,0.1,27179.73,8,3,51,N,N,3
RP0024,Sandra Davis,7008441200001370,10000596,G8822205,Chairman's Club,250000,H03,Y,46116.84,-1263.56,51035.24,12115.73,40920.75,0.3,7880.89,10,5,102,N,N,3
RP0016,Donald Hill,7008441200000909,10000415,G6358756,Black,89959,H01,Y,59595.21,2797.67,29988.45,4703.18,40293.56,0.12,22127.88,14,4,5,N,N,3
RP0034,Joseph Ramirez,,10000881,G4808498,Black,91412,H01,Y,47030.98,-5742.89,45275.28,10683.62,39361.84,0.27,10349.62,9,6,37,N,N,2
RP0017,Lisa Lopez,7008441200000977,10000444,G9151146,Platinum,67534,,N,44982.88,4551.65,35288.25,5665.51,34842.33,0.16,12393.22,12,5,49,N,N,3
RP0033,Michelle Robinson,7008441200001849,10000850,G7463264,Platinum,52531,,N,31022.61,1461.67,31328.84,4090.27,26476.4,0.15,5842.56,9,5,33,N,N,3
RP0020,Robert Smith,7008441200001134,10000482,G7684456,Platinum,63766,,N,32506.46,-3278.57,26166.81,2682.48,25411.61,0.11,9059.74,13,6,0,N,N,3
RP0042,Steven Scott,7008441200002164,10001114,G5500124,Platinum,69432,,N,31747.2,-9403.95,18922.05,2482.42,22496.32,0.11,10276.87,10,4,80,N,N,3
RP0027,Karen Nguyen,7008441200001596,10000697,G7354381,Platinum,50451,,N,29373.52,-8517.39,17282.99,2264.04,20735.81,0.11,10169.84,6,3,2,N,N,3
RP0030,James Walker,,10000771,G6852895,Platinum,44938,,N,24068.78,1769.34,11529.38,1330.38,16069.67,0.08,9621.47,5,3,55,N,N,2
RP0002,Sandra Anderson,7008441200000098,10000044,G3618926,Platinum,43950,,N,25037.4,-10099.97,9841.95,1050.6,15963.38,0.07,10384.62,5,3,28,N,N,3
RP0025,Hiroshi Scott,7008441200001452,10000637,G7508169,Platinum,54172,,N,28315.89,-1273.46,2316.72,172.15,14968.8,0.01,13391.13,3,1,105,N,N,3
